ticker,sector,roe,roa,profit_margin,operating_margin,debt_to_equity,current_ratio,revenue_growth,eps_growth,asset_turnover,pe_ratio,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,fcf_yield,market_cap,revenue,net_income,free_cash_flow,label
MMM,Industrials,108.61530452889122,10.46704123607906,16.980671414038657,19.621566632756867,3.5551795939614785,1.4111584932480454,-0.14221861032100772,-37.5,61.64091501956457,26.808613,19.294077,3.6064339,,15.798,0.7126125202570318,89529720832,24575000000.0,4173000000.0,638000000.0,good_quality_overvalued
AOS,Industrials,28.330236262277676,16.469135802469136,13.975537571043189,18.773735627668213,0.11505176533050172,1.5524966562639322,-0.9006436877076411,14.6,117.8425925925926,17.547169,4.91432,2.381775,1.201860890410959,11.621,5.193788095788925,9122436096,3818100000.0,533600000.0,473800000.0,good_quality_undervalued
ABT,Healthcare,28.117656931856327,16.46154224089223,31.94755661501788,16.269368295589988,0.3151435045317221,1.6709754891573074,4.589992271061358,0.0,51.52676443854865,16.094221,4.371907,5.0856514,,19.436,2.848362695183952,222970200064,41950000000.0,13402000000.0,6351000000.0,good_quality_overvalued
ABBV,Healthcare,128.66165413533835,3.165114197142667,7.59399297049739,21.113359605211773,20.193684210526317,0.6601976825208392,3.711476858499945,-88.7,41.67918260444951,178.99998,-158.04681,7.001503,,16.288,4.27013927675998,417597620224,56334000000.0,4278000000.0,17832000000.0,bad_quality_overvalued
ACN,Technology,24.613954870207657,11.741639412628786,11.020675921455172,14.676657206710143,0.2623096332714717,1.4200349477501015,7.360205326441206,-15.5,106.54191717742134,20.74547,5.0204325,2.2514532,,12.594,6.9322851431309855,156865445888,69672977000.0,7678433000.0,10874360000.0,good_quality_undervalued
ADBE,Technology,39.41864587025877,18.392325504465763,25.854452452917926,35.99627993489886,0.4293512938674229,1.067579127459367,10.799113813179453,11.200000000000001,71.1379424412835,20.198755,11.568298,5.9325047,1.8034602678571425,15.057,5.724927268220343,137521397760,21505000000.0,5560000000.0,7873000000.0,good_quality_undervalued
AMD,Technology,2.8505419677598667,2.370496634212579,6.364165212332752,8.089974791545472,0.03842412451361868,2.6162615025408598,13.690476190476192,60.3,37.24756594343166,106.13542,5.4574184,10.358831,1.7601230514096187,54.243,0.7249165979457226,331762302976,25785000000.0,1641000000.0,2405000000.0,bad_quality_overvalued
AES,Utilities,46.07574094401756,3.5417457705775637,13.674865613292067,16.50105880436553,7.963227222832053,0.7969898494924746,-3.0786233028102306,25.3,25.899675146605915,9.046053,2.5336282,0.8096298,0.3575515019762846,14.533,-47.38725128425333,9791663104,12278000000.0,1679000000.0,-4640000000.0,bad_quality_undervalued
AFL,Financial Services,20.85600429151659,4.629739890784751,28.455667084901716,22.76453366792137,0.28730170894321405,1.5,1.5232737115864339,0.0,16.270010036915437,14.583443,2.0337183,3.3532343,,11.829,4.560648114986061,59355598848,19128000000.0,5443000000.0,2707000000.0,bad_quality_undervalued
A,Healthcare,21.854866056290266,10.881310146885024,19.80030721966206,22.857142857142858,0.5747711088504578,2.0891820580474936,-4.72705985657837,21.6,54.95525915920986,35.338783,6.7335944,6.3295217,1.6360547685185183,24.45,3.1956398683305736,42964791296,6510000000.0,1289000000.0,1373000000.0,good_quality_overvalued
APD,Basic Materials,-2.625641435217539,-0.960800789098747,-3.277313018700207,24.00039876051939,1.225046422937923,1.3809794718627033,-0.5231145563029932,-99.8,29.316723291808227,18.16302,3.8128324,4.7592106,,101.349,-6.573447847149433,57288048640,12037300000.0,-394500000.0,-3765800000.0,bad_quality_overvalued
ABNB,Consumer Cyclical,31.47883975273419,12.634190562526836,23.851558277787785,22.99585660241398,0.2727056585829767,1.6907784666863497,11.949178178884743,3.8,52.970084450594015,27.204763,8.068639,5.857326,7.159148157894737,21.686,,69954043904,11102000000.0,2648000000.0,,good_quality_overvalued
AKAM,Technology,10.350165024822907,4.869596582434683,12.65088314999519,15.944054472274782,0.9500339971018931,1.2327588803833744,4.702302251883565,155.29999999999998,38.492147344168096,26.10264,2.7043202,3.0981898,0.1680788151963941,14.414,6.512105011012516,12805444608,3991168000.0,504918000.0,833904000.0,bad_quality_undervalued
ALB,Basic Materials,-11.840054080116511,-7.100986902251817,-21.93292975245494,-11.942833935159031,0.362964697043633,1.953893892794376,-44.08430392911536,0.0,32.37591595102341,63.48913,1.7715299,2.779675,,25.959,-7.154640400318042,13749426176,5377526000.0,-1179449000.0,-983722000.0,bad_quality_overvalued
ARE,Real Estate,1.8052895174599064,0.8605674209296773,10.58951256285032,25.23856397960984,0.7128107251355327,0.4002596753853375,7.291229837858528,0.0,8.126600878199849,14.793604,0.5209709,2.8757136,,13.606,17.106452207160075,8795067392,3049706000.0,322949000.0,1504524000.0,bad_quality_undervalued
ALGN,Healthcare,10.938827643409827,6.780195024619444,10.536652553180636,16.798249167544384,0.03096507385153369,1.2229676054340792,3.5407248605738606,-49.7,64.34866282624787,27.627907,2.5951142,2.5946867,,11.525,6.025466651335223,10333656064,3999012000.0,421362000.0,622651000.0,good_quality_undervalued
